Size;Standard;Hybrid_5;Hybrid_10;Hybrid_15;Hybrid_20;Hybrid_30;Hybrid_50
14400;8968;6774;5105;5270;5417;4579;5142
14500;8870;6220;5253;5050;4913;4959;4863
14600;8703;6516;5973;4858;5331;4857;5022
14700;9039;6390;5469;5101;5089;4775;4776
14800;8575;6323;5153;4832;5306;5192;4962
14900;9225;6166;5234;5511;4894;4928;4778
15000;9148;6790;5571;4811;5527;5396;4801
15100;8958;7071;5638;5288;4844;5248;4958
15200;8678;6221;5262;4874;4873;4853;4859
15300;8723;6233;5292;4903;4899;4874;4872
15400;9045;6752;5395;4948;5265;4953;5013
15500;9561;6656;5609;5757;5446;5240;5611
15600;9342;6589;5427;5112;5016;5282;5018
15700;8988;7279;5654;5573;5074;5089;5273
15800;9239;6885;5480;5617;5447;5084;5097
15900;9052;6888;5791;5545;5099;5181;5139
16000;9307;6473;5532;5412;5149;5152;5159
16100;9170;6497;5569;5640;5193;5221;5184
16200;9430;6571;5588;5521;5226;5540;5236
16300;10006;6701;5996;6031;5573;5297;5382
16400;9475;6725;6021;5893;5303;5321;5384
16500;9731;6719;5756;5740;5387;5357;5386
16600;9503;6698;5750;6034;6067;5788;5644
16700;9807;6699;6133;6468;5456;5683;5700
16800;9695;7035;5812;5893;5413;5448;5483
16900;10065;6926;5825;5827;5455;5433;5497
17000;10542;6824;5855;5855;5527;5475;5523
17100;11192;6870;5947;5901;5691;5947;5972
17200;9944;6925;5935;6181;5586;5551;5640
17300;10281;6919;6305;5967;5599;5638;5650
17400;10413;6956;6043;6215;5619;5635;5770
17500;10451;7068;6115;6609;5685;5678;5805
17600;10258;7045;6277;6069;5714;6234;5783
17700;10606;7078;6117;6105;5784;5790;5923
17800;10423;7120;6138;6128;5818;5820;5984
17900;10528;7204;6229;6177;6157;5807;6038
18000;10539;7173;6221;6192;5865;5826;5926
18100;11137;7253;6244;6644;5879;5862;5977
18200;10673;7342;6274;6303;6252;5896;6069
18300;11048;7371;6491;6300;6116;5917;6076
18400;10819;7607;6330;6338;5955;5947;6392
18500;11344;7333;6400;6368;6298;6020;6148
18600;11032;7503;6425;6527;6068;6211;6295
18700;11059;7439;6458;6441;6088;6061;6240
18800;11368;7709;6510;6470;6113;6106;6247
18900;11260;7477;6496;6589;6149;6167;6311
19000;11345;7547;6541;6537;6171;6191;6349
19100;11777;7647;6737;7036;6623;6434;6713
19200;11477;7606;6592;6781;6239;6381;6864
19300;11726;7662;6787;6660;6389;6306;6723
19400;11862;7647;7081;6676;6320;6311;6537
19500;12108;8754;6903;6658;6357;6332;6862
19600;12123;7786;7392;6758;6647;6416;6588
19700;11889;7777;6885;6793;6485;6674;6701
19800;11966;7787;6802;6797;6455;6444;6640
19900;12034;7877;6833;7657;6906;6948;6830
20000;12732;7911;6851;6866;6527;7166;6758
20100;12361;7941;6908;6911;6912;6927;7111
20200;12250;8382;6958;6940;6622;6637;6822
20300;12508;8215;6956;7020;6935;6640;6893
20400;12367;8459;7318;7377;6791;6829;7031
20500;12922;8361;7092;7050;6828;7316;6998
20600;13385;8538;7558;7222;7470;6965;7536
20700;14000;9058;8413;8539;7600;7088;7642
20800;13420;8652;7617;7167;6934;6814;7118
20900;13221;8625;7415;7244;7021;6896;7148
21000;12870;8597;8086;7541;7126;7720;7354
21100;13688;9435;8291;7408;7593;7372;7330
21200;13149;8958;7904;7524;7259;7017;7634
21300;13335;9726;7980;7669;7475;7348;7565
21400;14074;8916;7985;7519;7521;7712;8080
21500;13583;9622;8349;7717;7939;7661;7875
21600;14569;10215;8607;8060;7994;8325;8117
21700;13813;9743;8678;7767;7884;7329;7567
21800;13593;9333;8254;7554;7505;7199;7502
21900;13728;9242;8295;7845;7536;7212;7534
22000;13483;9874;8387;8011;7572;7687;7853
22100;13619;9484;8447;7696;7613;7320;7626
22200;13784;9632;8537;8075;7632;7734;7753
22300;13557;10360;9492;7717;7723;7396;7756
22400;13607;9674;8683;7716;7713;7399;8174
22500;13918;9689;8791;7762;8283;7419;8231
22600;13858;10137;8985;7917;8106;7559;8575
22700;13917;9892;9137;7817;7848;7510;7925
22800;13896;9990;9153;7865;8069;7751;8584
22900;14510;10123;8966;7933;7907;7562;7983
23000;14035;10664;9114;7939;7925;7908;8014
23100;14209;10388;9084;8410;7974;8017;8074
23200;14165;10866;9132;8012;8018;7685;8178
23300;14367;10439;9410;8027;8022;7773;8223
23400;14284;11295;9133;8066;8082;8274;8226
23500;14399;10594;9304;8508;8077;7803;8239
23600;14395;10690;9194;8427;8497;8051;8377
23700;14481;11675;9288;8190;8181;8333;8330
23800;15172;11613;9783;8298;8295;7978;8883
23900;15061;11034;9705;8385;8894;8169;8713
24000;14748;11075;9434;8325;8340;8432;8954
24100;15363;11458;9510;8628;8370;8121;8697
24200;15206;11788;9832;8795;8507;8414;8961
24300;15750;11874;9671;8699;8925;8377;8917
24400;15979;12037;10091;8713;8996;8536;9030
24500;16087;12491;10275;9185;9405;8918;9382
24600;15041;11507;9568;8553;8492;8345;8881
24700;15104;11681;9612;8520;8859;8267;8916
24800;15338;12073;10057;8727;9233;8422;8999
24900;16485;12778;10447;8853;9611;8473;10307
25000;16059;13044;10699;9629;9762;9254;9774
25100;15767;11817;11882;8771;8653;8438;9204
25200;15479;11758;9842;8857;9001;9200;9106
25300;16492;12951;11008;9521;9344;10013;10020
25400;16959;13166;11910;9702;9268;9275;10633
25500;17016;12888;12713;9297;8999;8886;9361
25600;15998;12219;10393;9552;9672;9078;9441
25700;16453;12600;10493;9397;9854;8832;9244
25800;16005;12445;10250;9306;9579;8897;9476
25900;17926;13276;12212;9737;9842;9611;10349
26000;17712;13697;11107;9813;9511;9761;10690
26100;16713;12941;10992;9176;9548;9199;9432
26200;16976;12319;10364;9279;9196;9042;8978
26300;16496;12472;11432;10838;9978;10054;9204
