Size;Standard;Hybrid_5;Hybrid_10;Hybrid_15;Hybrid_20;Hybrid_30;Hybrid_50
12600;10024;7201;5704;4791;4671;4166;3791
12700;10317;7184;5687;5419;4691;4186;3838
12800;10270;7151;5722;4791;4736;4237;3863
12900;9994;7552;6274;5685;5047;4420;4219
13000;10809;7689;6038;5002;4963;4371;4209
13100;10358;7289;5845;4956;4925;4345;4325
13200;10724;7434;5876;4905;4937;4515;4506
13300;10799;7265;5932;4775;4900;4356;4403
13400;10150;7427;5883;5256;4782;4432;4182
13500;10656;7483;5976;5290;4998;4534;4734
13600;10694;7477;5989;5053;5017;4495;4750
13700;10730;7505;6505;5283;5061;4530;4531
13800;10811;7486;6010;5108;5093;4580;4629
13900;10426;7362;6045;5136;5129;4599;4698
14000;10925;7617;6246;5381;5371;4784;4948
14100;11180;7566;6056;5202;5501;4758;4894
14200;11024;7631;6015;5241;5222;4709;4700
14300;10982;7606;6282;5265;5262;5116;4730
14400;11615;7603;6024;5269;5293;4900;4787
14500;11151;7645;6130;5761;6196;4793;5159
14600;12677;7923;6442;6045;6878;5971;5898
14700;12355;9491;6676;5484;5653;4742;5112
14800;11502;7772;6286;5534;5430;4922;4880
14900;12557;8244;6749;5943;5489;5463;5558
15000;11797;7778;6270;5518;5625;4959;4950
15100;11631;7974;6166;5542;5563;4967;4960
15200;12032;8205;6422;5583;5733;5012;5003
15300;11753;7999;6553;5659;6418;5050;5085
15400;12699;8280;6505;5699;5642;5138;5163
15500;12432;8281;6553;5806;6001;5329;5109
15600;11788;8197;6547;6023;5774;5416;5108
15700;12340;8177;6606;6301;5765;5461;5176
15800;12800;8236;6632;6148;6863;6690;5208
15900;12437;8412;6705;6590;5873;6623;5295
16000;12384;8545;7297;6658;6622;6804;5284
16100;12921;8501;7190;6913;6049;6288;5354
16200;12412;8340;6650;6632;6271;5938;5352
16300;12545;8591;6807;7449;5974;6359;5540
16400;12723;8390;6840;6819;5991;6263;5412
16500;13146;8766;6925;6900;6326;6132;5464
16600;12587;8477;6928;6943;6099;5851;5229
16700;13509;8796;7000;6949;6103;6353;5541
16800;13260;8568;7076;6926;6119;6137;5739
16900;13193;8623;7032;7179;5938;6313;5887
17000;13208;8809;7301;7080;6599;6370;5916
17100;13565;8692;7122;7103;6241;6225;5646
17200;13358;8782;7221;7120;6306;6294;5716
17300;13459;8750;7162;7146;6325;6312;5735
17400;13913;8785;7181;7160;6358;6329;5911
17500;13744;8925;7248;7243;6406;6425;5802
17600;13927;8941;7297;7294;6729;6640;5833
17700;14086;8977;7348;7325;6465;6486;5857
17800;13902;9022;7373;7373;6212;6309;5862
17900;14369;9026;7411;7617;6518;6522;5908
18000;14229;9081;7471;7675;6700;6837;5989
18100;14964;9120;7504;7475;6595;6644;5979
18200;14476;9410;7544;7517;7245;7604;6040
18300;14785;9195;7604;7586;6669;6781;6042
18400;14656;9422;7357;7610;6762;6512;6184
18500;15059;9258;7646;7923;6874;6712;6096
18600;14929;9309;7667;7668;6789;6965;6264
18700;15142;9359;7696;7706;6821;7005;6173
18800;15406;9389;7753;7890;6959;6827;6320
