dataset,n,algorithm,time_us,symbol_ops
random,2300,string_quick_sort,2231.71,24258
random,2300,string_merge_sort_lcp,21309.7,20656
random,2300,msd_radix_sort,3899.43,10750
random,2300,msd_radix_sort_switch,1662.71,14370
random,2400,quick_sort,4309.86,42541
random,2400,merge_sort,5989,33973
random,2400,string_quick_sort,2495,27477
random,2400,string_merge_sort_lcp,20853.6,21717
random,2400,msd_radix_sort,4650.86,11280
random,2400,msd_radix_sort_switch,1698.29,15165
random,2500,quick_sort,4759.14,45162
random,2500,merge_sort,6102.43,35659
random,2500,string_quick_sort,2555.14,26662
random,2500,string_merge_sort_lcp,21684.4,22702
random,2500,msd_radix_sort,4020.29,11774
random,2500,msd_radix_sort_switch,1804.71,15965
random,2600,quick_sort,4962.43,45710
random,2600,merge_sort,6264.57,37428
random,2600,string_quick_sort,2344.29,29057
random,2600,string_merge_sort_lcp,22898,23779
random,2600,msd_radix_sort,4319.14,12304
random,2600,msd_radix_sort_switch,1883.14,16814
random,2700,quick_sort,4933.57,47528
random,2700,merge_sort,6890.71,39162
random,2700,string_quick_sort,2392.29,29494
random,2700,string_merge_sort_lcp,24235.6,24785
random,2700,msd_radix_sort,4802.29,12834
random,2700,msd_radix_sort_switch,2094.29,18008
random,2800,quick_sort,5160.43,51151
random,2800,merge_sort,6881.71,40920
random,2800,string_quick_sort,2497.29,30874
random,2800,string_merge_sort_lcp,24384.1,25835
random,2800,msd_radix_sort,4857.43,13382
random,2800,msd_radix_sort_switch,2085.86,18669
random,2900,quick_sort,4975.86,49932
random,2900,merge_sort,7281.14,42670
random,2900,string_quick_sort,2651.57,33155
random,2900,string_merge_sort_lcp,25083.3,26827
random,2900,msd_radix_sort,4896.86,13922
random,2900,msd_radix_sort_switch,2155,19237
random,3000,quick_sort,5436.57,53751
random,3000,merge_sort,8604.29,44457
random,3000,string_quick_sort,2610.71,31912
random,3000,string_merge_sort_lcp,27559,27880
random,3000,msd_radix_sort,5258.14,14454
random,3000,msd_radix_sort_switch,2396.71,20089
reversed,100,quick_sort,69.5714,940
reversed,100,merge_sort,145.571,673
reversed,100,string_quick_sort,44.8571,574
reversed,100,string_merge_sort_lcp,523.857,383
reversed,100,msd_radix_sort,183.429,468
reversed,100,msd_radix_sort_switch,67.2857,556
reversed,200,quick_sort,196.714,2142
reversed,200,merge_sort,304.286,1460
reversed,200,string_quick_sort,102,1286
reversed,200,string_merge_sort_lcp,1185.14,770
reversed,200,msd_radix_sort,399.857,950
reversed,200,msd_radix_sort_switch,121.714,1138
reversed,300,quick_sort,375.143,3377
reversed,300,merge_sort,530.429,2292
reversed,300,string_quick_sort,149.429,2010
reversed,300,string_merge_sort_lcp,1889.43,1171
reversed,300,msd_radix_sort,501.429,1440
reversed,300,msd_radix_sort_switch,186.143,1700
reversed,400,quick_sort,448.143,4836
reversed,400,merge_sort,653.857,3152
reversed,400,string_quick_sort,235,3018
reversed,400,string_merge_sort_lcp,2498.86,1559
reversed,400,msd_radix_sort,713.857,1934
reversed,400,msd_radix_sort_switch,249.571,2269
reversed,500,quick_sort,554.429,6185
reversed,500,merge_sort,854,3874
reversed,500,string_quick_sort,268.143,3632
reversed,500,string_merge_sort_lcp,3091.57,1917
reversed,500,msd_radix_sort,881.857,2412
reversed,500,msd_radix_sort_switch,315.571,2878
reversed,600,quick_sort,690.143,7541
reversed,600,merge_sort,1047,4969
reversed,600,string_quick_sort,341.429,4497
reversed,600,string_merge_sort_lcp,4132.57,2390
reversed,600,msd_radix_sort,1049.71,2906
reversed,600,msd_radix_sort_switch,395.143,3474
reversed,700,quick_sort,938.286,9299
reversed,700,merge_sort,1476.43,5943
reversed,700,string_quick_sort,492.571,5418
reversed,700,string_merge_sort_lcp,5567.14,2849
reversed,700,msd_radix_sort,1428.29,3382
reversed,700,msd_radix_sort_switch,770.571,4072
reversed,800,quick_sort,1181.86,10575
reversed,800,merge_sort,1815.71,6731
reversed,800,string_quick_sort,561,6352
reversed,800,string_merge_sort_lcp,8496.29,3165
reversed,800,msd_radix_sort,1568.57,3836
reversed,800,msd_radix_sort_switch,606,4621
reversed,900,quick_sort,1316.43,12133
reversed,900,merge_sort,1896.14,7540
reversed,900,string_quick_sort,543.429,7111
reversed,900,string_merge_sort_lcp,6218,3534
reversed,900,msd_radix_sort,1491.43,4324
reversed,900,msd_radix_sort_switch,576.143,5199
reversed,1000,quick_sort,1253,13580
reversed,1000,merge_sort,1862,8232
reversed,1000,string_quick_sort,605.143,8086
reversed,1000,string_merge_sort_lcp,6825.86,3852
reversed,1000,msd_radix_sort,1673.57,4780
reversed,1000,msd_radix_sort_switch,642.143,5754
reversed,1100,quick_sort,1379.86,14893
reversed,1100,merge_sort,2087.14,9296
reversed,1100,string_quick_sort,689.571,9093
reversed,1100,string_merge_sort_lcp,8116.86,4296
reversed,1100,msd_radix_sort,1763.29,5246
reversed,1100,msd_radix_sort_switch,694.714,6314
reversed,1200,quick_sort,1501.71,16420
